grp,a,a_se,k,k_se,m,n,rmse,nrmse_avg
Phyllostachys heteroclada,NA,NA,NA,NA,4,NA,NA,NA
Picea abies,121.7199,14.975,0.0637,0.008,4,25,36.3689,0.5328
Picea asperata,164.8446,63.1401,0.0368,0.0077,4,25,17.2481,0.7597
Picea crassifolia,NA,NA,NA,NA,4,NA,NA,NA
Picea glauca,NA,NA,NA,NA,4,NA,NA,NA
Picea koraiensis,NA,NA,NA,NA,4,NA,NA,NA
"Picea koraiensis, P. glehnii",101.2814,NA,2.0851,NA,4,NA,NA,NA
Picea likiangensis,NA,NA,NA,NA,4,NA,NA,NA
Picea mariana,NA,NA,NA,NA,4,NA,NA,NA
Picea obovata,83.0633,29.7329,0.0497,0.0096,4,25,12.7231,1.0133
Picea omorika,NA,NA,NA,NA,4,NA,NA,NA
Picea sitchensis,195.0367,30.3807,0.0674,0.0064,4,25,34.3556,0.715
Pinus armandii,31.2214,NA,2.04,NA,4,25,11.706,0.4083
Pinus banksiana,NA,NA,NA,NA,4,NA,NA,NA
Pinus brutia,151.4623,40.2391,0.0741,0.0073,4,25,17.5688,1.2577
Pinus caribaea,80.7394,20.5297,1.455,153.1512,4,25,43.7727,0.5335
Pinus contorta,40.8689,NA,5.6757,NA,4,NA,NA,NA
Pinus densiflora,NA,NA,NA,NA,4,NA,NA,NA
Pinus elliottii,104.3146,21.2045,0.1111,0.0261,4,25,23.339,0.5148
Pinus halepensis,17.8021,2.9392,0.1136,0.0134,4,25,7.5499,1.106
Pinus henryi,NA,NA,NA,NA,4,NA,NA,NA
Pinus kesiya,168.9906,32.9853,0.0853,0.0077,4,NA,NA,NA
Pinus koraiensis,87.4208,10.1397,0.0673,0.0052,4,25,15.2475,0.3984
Pinus kwangtungensis,NA,NA,NA,NA,4,NA,NA,NA
Pinus massoniana,48.7525,4.9571,0.1279,0.0122,4,25,21.2464,0.5672
Pinus nigra,85.4874,12.5514,0.0814,0.0113,4,25,22.1373,0.6894
Pinus oocarpa,NA,NA,NA,NA,4,NA,NA,NA
Pinus palustris,NA,NA,NA,NA,4,NA,NA,NA
Pinus patula,96.4589,15.7673,0.0872,0.0169,4,NA,NA,NA
Pinus pinaster,241.2867,73.0658,0.0678,0.0076,4,NA,NA,NA
Pinus ponderosa,140.6338,43.5678,0.1226,0.042,4,25,49.737,0.6236
Pinus pseudostrobus,NA,NA,NA,NA,4,NA,NA,NA
Pinus radiata,173.7111,30.4984,0.083,0.0135,4,25,27.8407,0.5857
Pinus resinosa,99.3898,10.5007,0.0911,0.0086,4,25,20.4251,0.254
Pinus sibirica,42.9087,8.8318,0.0798,0.0102,4,25,16.2995,1.6154
Pinus strobus,NA,NA,NA,NA,4,NA,NA,NA
Pinus sylvestris,78.0116,2.981,0.0747,0.0031,4,25,17.8657,0.4436
Pinus sylvestris var. mongolica,39.3926,8.3504,0.0995,0.016,4,25,3.8324,0.2641
Pinus sylvestris var. sylvestriformis,46.0209,NA,4.0786,NA,4,NA,NA,NA
Pinus tabuliformis,77.713,11.9029,0.065,0.0053,4,25,13.8716,0.4121
Pinus taeda,121.5397,14.0184,0.1162,0.0077,4,25,17.6933,0.4396
Pinus taiwanensis,37.1828,13.4885,0.1634,0.045,4,25,29.3069,0.8417
Pinus tecunumanii,NA,NA,NA,NA,4,NA,NA,NA
Pinus thunbergii,20.7701,NA,8.2068,NA,4,25,13.7742,0.7832
Platycladus orientalis,13.1201,NA,10.658,NA,4,25,4.2998,0.3168
Populus alba,54.0182,NA,5.1438,NA,4,25,48.3011,0.9087
Populus canadensis,NA,NA,NA,NA,4,NA,NA,NA
Populus clone,NA,NA,NA,NA,4,NA,NA,NA
Populus deltoides,96.9602,11.6262,0.3082,0.0369,4,NA,NA,NA
Populus euphratica,73.7743,45.0151,0.3275,0.0251,4,NA,NA,NA
Populus hybrid,NA,NA,NA,NA,4,NA,NA,NA
Populus nigra,NA,NA,NA,NA,4,NA,NA,NA
Populus nigra var. thevestina,NA,NA,NA,NA,4,NA,NA,NA
Populus nigra x maximowiczii,NA,NA,NA,NA,4,NA,NA,NA
Populus pruinosa,48.6083,18.426,0.1362,0.0817,4,NA,NA,NA
Populus pseudosimonii,65.326,NA,3.2591,NA,4,25,49.1977,0.6282
Populus simonii,47.5235,11.82,1.5389,3668840.8446,4,25,21.3215,0.5046
Populus spp.,67.9003,4.965,0.2652,0.0412,4,25,21.5977,0.6305
Populus szechuanica var tibetica,NA,NA,NA,NA,4,NA,NA,NA
Populus tomentosa,51.366,9.6971,2.2686,1703142.9456,4,25,13.8848,0.2288
Populus tremula var. davidiana,NA,NA,NA,NA,4,NA,NA,NA
Populus trichocarpa,47.9646,5.7898,0.3958,0.0353,4,NA,NA,NA
Populus x beijingensis,21.1838,NA,4.254,NA,4,NA,NA,NA
